cat_id;name;ranking_id
19272;ADULTS CONTACT HIF JU-JITSU FEMALE -45 KG;NONE
19273;ADULTS CONTACT HIF JU-JITSU FEMALE -48 KG;NONE
19274;ADULTS CONTACT HIF JU-JITSU FEMALE -52 KG;NONE
19275;ADULTS CONTACT HIF JU-JITSU FEMALE -57 KG;NONE
19276;ADULTS CONTACT HIF JU-JITSU FEMALE -63 KG;NONE
19277;ADULTS CONTACT HIF JU-JITSU FEMALE -70 KG;NONE
19271;ADULTS CONTACT HIF JU-JITSU FEMALE +70 KG;NONE
19279;ADULTS CONTACT HIF JU-JITSU MALE -56 KG;NONE
19280;ADULTS CONTACT HIF JU-JITSU MALE -62 KG;NONE
19281;ADULTS CONTACT HIF JU-JITSU MALE -69 KG;NONE
19282;ADULTS CONTACT HIF JU-JITSU MALE -77 KG;NONE
19283;ADULTS CONTACT HIF JU-JITSU MALE -85 KG;NONE
19284;ADULTS CONTACT HIF JU-JITSU MALE -94 KG;NONE
19278;ADULTS CONTACT HIF JU-JITSU MALE +94 KG;NONE
1480;ADULTS JIU-JITSU FEMALE -45 KG;261
1481;ADULTS JIU-JITSU FEMALE -48 KG;244
1482;ADULTS JIU-JITSU FEMALE -52 KG;226
1483;ADULTS JIU-JITSU FEMALE -57 KG;225
1484;ADULTS JIU-JITSU FEMALE -63 KG;246
1485;ADULTS JIU-JITSU FEMALE -70 KG;238
1486;ADULTS JIU-JITSU FEMALE +70 KG;240
1473;ADULTS JIU-JITSU MALE -56 KG;236
1474;ADULTS JIU-JITSU MALE -62 KG;224
1475;ADULTS JIU-JITSU MALE -69 KG;242
1476;ADULTS JIU-JITSU MALE -77 KG;221
1477;ADULTS JIU-JITSU MALE -85 KG;229
1478;ADULTS JIU-JITSU MALE -94 KG;230
1479;ADULTS JIU-JITSU MALE +94 KG;239
16033;ADULTS JIU-JITSU NO-GI FEMALE -45 KG;NONE
16034;ADULTS JIU-JITSU NO-GI FEMALE -48 KG;NONE
16035;ADULTS JIU-JITSU NO-GI FEMALE -52 KG;NONE
16036;ADULTS JIU-JITSU NO-GI FEMALE -57 KG;NONE
16037;ADULTS JIU-JITSU NO-GI FEMALE -63 KG;NONE
16038;ADULTS JIU-JITSU NO-GI FEMALE -70 KG;NONE
16032;ADULTS JIU-JITSU NO-GI FEMALE +70 KG;NONE
16039;ADULTS JIU-JITSU NO-GI MALE -56 KG;NONE
16040;ADULTS JIU-JITSU NO-GI MALE -62 KG;NONE
16041;ADULTS JIU-JITSU NO-GI MALE -69 KG;NONE
16042;ADULTS JIU-JITSU NO-GI MALE -77 KG;NONE
16043;ADULTS JIU-JITSU NO-GI MALE -85 KG;NONE
16044;ADULTS JIU-JITSU NO-GI MALE -94 KG;NONE
16045;ADULTS JIU-JITSU NO-GI MALE +94 KG;NONE
4351;ADULTS JU-JITSU CONTACT FEMALE -45 KG;253
4352;ADULTS JU-JITSU CONTACT FEMALE -48 KG;437
4353;ADULTS JU-JITSU CONTACT FEMALE -52 KG;257
4354;ADULTS JU-JITSU CONTACT FEMALE -57 KG;251
4355;ADULTS JU-JITSU CONTACT FEMALE -63 KG;438
4356;ADULTS JU-JITSU CONTACT FEMALE -70 KG;259
4350;ADULTS JU-JITSU CONTACT FEMALE +70 KG;439
4357;ADULTS JU-JITSU CONTACT MALE -56 KG;249
4358;ADULTS JU-JITSU CONTACT MALE -62 KG;248
4359;ADULTS JU-JITSU CONTACT MALE -69 KG;250
4360;ADULTS JU-JITSU CONTACT MALE -77 KG;252
4361;ADULTS JU-JITSU CONTACT MALE -85 KG;255
4362;ADULTS JU-JITSU CONTACT MALE -94 KG;254
4363;ADULTS JU-JITSU CONTACT MALE +94 KG;258
1491;ADULTS JU-JITSU DUO MEN;232
1492;ADULTS JU-JITSU DUO MIXED;262
21351;ADULTS JU-JITSU DUO OPEN;419
1490;ADULTS JU-JITSU DUO WOMEN;228
1452;ADULTS JU-JITSU FIGHTING FEMALE -45 KG;256
1453;ADULTS JU-JITSU FIGHTING FEMALE -48 KG;260
1454;ADULTS JU-JITSU FIGHTING FEMALE -52 KG;227
1455;ADULTS JU-JITSU FIGHTING FEMALE -57 KG;245
1456;ADULTS JU-JITSU FIGHTING FEMALE -63 KG;233
1457;ADULTS JU-JITSU FIGHTING FEMALE -70 KG;237
1458;ADULTS JU-JITSU FIGHTING FEMALE +70 KG;247
1444;ADULTS JU-JITSU FIGHTING MALE -56 KG;222
1451;ADULTS JU-JITSU FIGHTING MALE -62 KG;223
1446;ADULTS JU-JITSU FIGHTING MALE -69 KG;234
1447;ADULTS JU-JITSU FIGHTING MALE -77 KG;243
1448;ADULTS JU-JITSU FIGHTING MALE -85 KG;235
1449;ADULTS JU-JITSU FIGHTING MALE -94 KG;231
1450;ADULTS JU-JITSU FIGHTING MALE +94 KG;241
23373;ADULTS JU-JITSU INCLUSIVE SELF-DEFENSE COGNITIVE;440
23374;ADULTS JU-JITSU INCLUSIVE SELF-DEFENSE PHYSICAL;441
23375;ADULTS JU-JITSU INCLUSIVE SELF-DEFENSE VISUAL;NONE
1494;ADULTS JU-JITSU SHOW MEN;283
1493;ADULTS JU-JITSU SHOW MIXED;267
21185;ADULTS JU-JITSU SHOW OPEN;420
1495;ADULTS JU-JITSU SHOW WOMEN;290
17164;Para Jiu-Jitsu Men;NONE
17163;Para Jiu-Jitsu Women;NONE
1816;U18 JIU-JITSU FEMALE -40 KG;350
1817;U18 JIU-JITSU FEMALE -44 KG;351
1818;U18 JIU-JITSU FEMALE -48 KG;327
1819;U18 JIU-JITSU FEMALE -52 KG;328
